"Median earned income per commuter travelling less than 30 minutes"
"(Euro) by Electoral Division and Year"

" ","2016"
"120 Merchants Quay B, Dublin City",30324.0
"121 Merchants Quay C, Dublin City",29750.0
"122 Merchants Quay D, Dublin City",37893.0
"123 Merchants Quay E, Dublin City",38130.0
"124 Merchants Quay F, Dublin City",30015.0
"125 Pembroke East A, Dublin City",39880.0
"126 Pembroke East B, Dublin City",52672.0
"127 Pembroke East C, Dublin City",55302.0
"128 Pembroke East D, Dublin City",49368.0
"129 Pembroke East E, Dublin City",56066.0
"130 Pembroke West A, Dublin City",54674.0
"131 Pembroke West B, Dublin City",58470.0
"132 Pembroke West C, Dublin City",50928.0
"133 Rathfarnham, Dublin City",48289.0
"134 Rathmines East A, Dublin City",48777.0
"135 Rathmines East B, Dublin City",56057.0
"136 Rathmines East C, Dublin City",53927.0
"137 Rathmines East D, Dublin City",46062.0
"138 Rathmines West A, Dublin City",37753.0
"139 Rathmines West B, Dublin City",37457.0
"140 Rathmines West C, Dublin City",43623.0
"141 Rathmines West D, Dublin City",40790.0
"142 Rathmines West E, Dublin City",44278.0
"143 Rathmines West F, Dublin City",39566.0
"144 Royal Exchange A, Dublin City",36567.0
"145 Royal Exchange B, Dublin City",24939.0
"146 St. Kevin's, Dublin City",38769.0
"147 South Dock, Dublin City",51303.0
"148 Terenure A, Dublin City",39407.0
"149 Terenure B, Dublin City",42322.0
"150 Terenure C, Dublin City",46163.0
"151 Terenure D, Dublin City",40421.0
"152 Ushers A, Dublin City",41647.0
"153 Ushers B, Dublin City",26199.0
"154 Ushers C, Dublin City",28168.0
"155 Ushers D, Dublin City",31168.0
"156 Ushers E, Dublin City",30440.0
"157 Ushers F, Dublin City",44081.0
"158 Walkinstown A, Dublin City",32789.0
"159 Walkinstown B, Dublin City",33132.0
"160 Walkinstown C, Dublin City",33582.0
"161 Wood Quay A, Dublin City",26108.0
"162 Wood Quay B, Dublin City",36110.0
"001 Ballinascorney, South Dublin",29369.0
"002 Ballyboden, South Dublin",40547.0
"003 Bohernabreena, South Dublin",31940.0
"004 Clondalkin-Ballymount, South Dublin",30678.0
"005 Clondalkin-Cappaghmore, South Dublin",23671.0
"006 Clondalkin-Dunawley, South Dublin",25815.0
"007 Clondalkin-Monastery, South Dublin",29163.0
"008 Clondalkin-Moorfield, South Dublin",25556.0
"009 Clondalkin-Rowlagh, South Dublin",23684.0
"010 Clondalkin Village, South Dublin",30334.0
"011 Edmondstown, South Dublin",34477.0
"012 Firhouse-Ballycullen, South Dublin",41659.0
"013 Firhouse-Knocklyon, South Dublin",41215.0
"014 Firhouse Village, South Dublin",37100.0
"015 Lucan-Esker, South Dublin",35794.0
"016 Lucan Heights, South Dublin",34744.0
"017 Lucan-St. Helen's, South Dublin",34910.0
"018 Newcastle, South Dublin",34320.0
"019 Palmerston Village, South Dublin",35269.0
"020 Palmerston West, South Dublin",29196.0
"021 Rathcoole, South Dublin",33889.0
"022 Rathfarnham-Ballyroan, South Dublin",47546.0
"023 Rathfarnham-Butterfield, South Dublin",49382.0
"024 Rathfarnham-Hermitage, South Dublin",44153.0
"025 Rathfarnham-St. Enda's, South Dublin",40428.0
"026 Rathfarnham Village, South Dublin",44987.0
"027 Saggart, South Dublin",35120.0
"028 Tallaght-Avonbeg, South Dublin",26500.0
"029 Tallaght-Belgard, South Dublin",29762.0
"030 Tallaght-Fettercairn, South Dublin",24225.0
"031 Tallaght-Glenview, South Dublin",29102.0
"032 Tallaght-Jobstown, South Dublin",27791.0
"033 Tallaght-Killinardan, South Dublin",21900.0
"034 Tallaght-Kilnamanagh, South Dublin",31272.0
"035 Tallaght-Kiltipper, South Dublin",28505.0
"036 Tallaght-Kingswood, South Dublin",29185.0
"037 Tallaght-Millbrook, South Dublin",28689.0
"038 Tallaght-Oldbawn, South Dublin",31257.0
"039 Tallaght-Springfield, South Dublin",26270.0
"040 Tallaght-Tymon, South Dublin",28770.0
"041 Templeogue-Cypress, South Dublin",42330.0
"042 Templeogue-Kimmage Manor, South Dublin",50341.0
"043 Templeogue-Limekiln, South Dublin",35189.0
"044 Templeogue-Orwell, South Dublin",43453.0
"045 Templeogue-Osprey, South Dublin",38416.0
"046 Templeogue Village, South Dublin",58154.0
"047 Terenure-Cherryfield, South Dublin",36404.0
"048 Terenure-Greentrees, South Dublin",39771.0
"049 Terenure-St. James, South Dublin",32280.0
"001 Airport, Fingal",31063.0
"002 Balbriggan Rural, Fingal",27005.0
"003 Balbriggan Urban, Fingal",26543.0
"004 Baldoyle, Fingal",32706.0
"005 Balgriffin, Fingal",35751.0
"006 Ballyboghil, Fingal",33997.0
"007 Balscadden, Fingal",31710.0
"008 Blanchardstown-Abbotstown, Fingal",36878.0
"009 Blanchardstown-Blakestown, Fingal",31037.0
"010 Blanchardstown-Coolmine, Fingal",27162.0
"011 Blanchardstown-Corduff, Fingal",23807.0
"012 Blanchardstown-Delwood, Fingal",33766.0
"013 Blanchardstown-Mulhuddart, Fingal",25880.0
"014 Blanchardstown-Roselawn, Fingal",32915.0
"015 Blanchardstown-Tyrrelstown, Fingal",21939.0
"016 Castleknock-Knockmaroon, Fingal",41605.0
"017 Castleknock-Park, Fingal",49776.0
"018 Clonmethan, Fingal",32257.0
"019 Donabate, Fingal",36812.0
"020 Dubber, Fingal",30405.0
"021 Garristown, Fingal",26574.0
"022 Hollywood, Fingal",28454.0
"023 Holmpatrick, Fingal",34221.0
"024 Howth, Fingal",35020.0
"025 Kilsallaghan, Fingal",28568.0
"026 Kinsaley, Fingal",32203.0
"027 Lucan North, Fingal",51200.0
"028 Lusk, Fingal",30606.0
"029 Malahide East, Fingal",39030.0
"030 Malahide West, Fingal",40478.0
"031 Portmarnock North, Fingal",33155.0
"032 Portmarnock South, Fingal",35056.0
"033 Rush, Fingal",26364.0
"034 Skerries, Fingal",29562.0
"035 Sutton, Fingal",38298.0
"036 Swords-Forrest, Fingal",31104.0
"037 Swords-Glasmore, Fingal",27134.0
"038 Swords-Lissenhall, Fingal",29060.0
"039 Swords-Seatown, Fingal",32716.0
"040 Swords Village, Fingal",28106.0
"041 The Ward, Fingal",30915.0
"042 Turnapin, Fingal",32141.0
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",34988.0
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",39266.0
"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",39759.0
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",45960.0
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",32000.0
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",45022.0
"007 Ballybrack, Dún Laoghaire-Rathdown",31700.0
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",50880.0
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",48725.0
"010 Blackrock-Central, Dún Laoghaire-Rathdown",54461.0
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",53489.0
"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",44432.0
"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",44623.0
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",60831.0
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",37378.0
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",44010.0
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",50139.0
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",34754.0
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",31060.0
"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",36325.0
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",35450.0
"022 Churchtown-Castle, Dún Laoghaire-Rathdown",43410.0
"023 Churchtown-Landscape, Dún Laoghaire-Rathdown",51040.0
"024 Churchtown-Nutgrove, Dún Laoghaire-Rathdown",33433.0
"025 Churchtown-Orwell, Dún Laoghaire-Rathdown",51532.0
"026 Churchtown-Woodlawn, Dún Laoghaire-Rathdown",49875.0
"027 Clonskeagh-Belfield, Dún Laoghaire-Rathdown",52526.0
"028 Clonskeagh-Farranboley, Dún Laoghaire-Rathdown",40062.0
"029 Clonskeagh-Milltown, Dún Laoghaire-Rathdown",62627.0
"030 Clonskeagh-Roebuck, Dún Laoghaire-Rathdown",52743.0
"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",45514.0
"032 Dalkey-Avondale, Dún Laoghaire-Rathdown",44639.0
"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",37561.0
"034 Dalkey-Coliemore, Dún Laoghaire-Rathdown",38538.0
"035 Dalkey Hill, Dún Laoghaire-Rathdown",38427.0
"036 Dalkey Upper, Dún Laoghaire-Rathdown",46065.0
"037 Dundrum-Balally, Dún Laoghaire-Rathdown",40302.0
"038 Dundrum-Kilmacud, Dún Laoghaire-Rathdown",47890.0
"039 Dundrum-Sandyford, Dún Laoghaire-Rathdown",39609.0
"040 Dundrum-Sweetmount, Dún Laoghaire-Rathdown",47280.0
"041 Dundrum-Taney, Dún Laoghaire-Rathdown",41541.0
"042 Dún Laoghaire-East Central, Dún Laoghaire-Rathdown",34312.0
"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",37233.0
"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",37288.0
"045 Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown",32711.0
"046 Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown",26084.0
"047 Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown",33570.0
"048 Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown",31096.0
"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",32104.0
"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",50872.0
"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",39477.0
"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",36294.0
"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",48243.0
"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",46599.0
"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",43356.0
"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",53401.0
"057 Glencullen, Dún Laoghaire-Rathdown",41636.0
"058 Killiney North, Dún Laoghaire-Rathdown",38692.0
"059 Killiney South, Dún Laoghaire-Rathdown",29254.0
"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",34691.0
"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",30229.0
"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",34150.0
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",52019.0
"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",45872.0
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",52356.0
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",49657.0
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",56693.0
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",46342.0
"069 Tibradden, Dún Laoghaire-Rathdown",41340.0
"001 Athy East Urban, Co. Kildare",26298.0
"002 Athy West Urban, Co. Kildare",25312.0
"003 Naas Urban, Co. Kildare",31345.0
"004 Athy Rural (Part Rural), Co. Kildare",27641.0
"005 Ballaghmoon, Co. Kildare",36178.0
"006 Ballitore, Co. Kildare",27206.0
"007 Ballybrackan, Co. Kildare",31913.0
"008 Ballyshannon, Co. Kildare",31349.0
"009 Belan, Co. Kildare",30754.0
"010 Bert, Co. Kildare",33606.0
"011 Burtown, Co. Kildare",27540.0
"012 Carrigeen, Co. Kildare",32237.0
"013 Castledermot, Co. Kildare",24268.0
"014 Churchtown, Co. Kildare",28511.0
"015 Dunmanoge, Co. Kildare",26406.0
"016 Fontstown, Co. Kildare",30629.0
"017 Graney, Co. Kildare",25629.0
"018 Grangemellon, Co. Kildare",32753.0
"019 Harristown, Co. Kildare",29765.0
"020 Inchaquire, Co. Kildare",27960.0
"021 Johnstown, Co. Kildare",29742.0
"022 Kilberry, Co. Kildare",28477.0
"023 Kildangan, Co. Kildare",35359.0
"024 Kilkea, Co. Kildare",31372.0
"025 Kilrush, Co. Kildare",32371.0
"026 Lackagh, Co. Kildare",27971.0
"027 Monasterevin, Co. Kildare",26986.0
"028 Moone, Co. Kildare",30057.0
"029 Narraghmore, Co. Kildare",32455.0
"030 Nurney, Co. Kildare",29253.0
"031 Quinsborough, Co. Kildare",25564.0
"032 Skerries, Co. Kildare",31796.0
"033 Balraheen, Co. Kildare",36558.0
"034 Celbridge, Co. Kildare",33468.0
"035 Cloncurry, Co. Kildare",31757.0
"036 Donadea, Co. Kildare",31243.0
"037 Donaghcumper, Co. Kildare",34995.0
"038 Kilcock, Co. Kildare",29620.0
"039 Leixlip, Co. Kildare",33811.0
"040 Maynooth, Co. Kildare",35365.0
"041 Straffan, Co. Kildare",36800.0
"042 Ballynadrumny, Co. Kildare",26770.0
"043 Cadamstown, Co. Kildare",28975.0
"044 Carbury, Co. Kildare",24273.0
"045 Carrick, Co. Kildare",28627.0
"046 Cloncurry, Co. Kildare",31262.0
"047 Drehid, Co. Kildare",33112.0
"048 Dunfierth, Co. Kildare",31359.0
"049 Killinthomas, Co. Kildare",32274.0
"050 Kilpatrick, Co. Kildare",25333.0
"051 Kilrainy, Co. Kildare",27120.0
"052 Lullymore, Co. Kildare",31076.0
"053 Rathangan, Co. Kildare",25797.0
"054 Thomastown, Co. Kildare",25212.0
"055 Windmill Cross, Co. Kildare",23372.0
"056 Ballymore Eustace, Co. Kildare",27601.0
"057 Ballysax East, Co. Kildare",27075.0
"058 Ballysax West, Co. Kildare",28193.0
"059 Bodenstown, Co. Kildare",31432.0
"060 Carnalway, Co. Kildare",31980.0
"061 Carragh, Co. Kildare",33531.0
"062 Clane, Co. Kildare",32149.0
"063 Donore, Co. Kildare",30270.0
"064 Downings, Co. Kildare",28057.0
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",33849.0
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",24766.0
"067 Dunmurry, Co. Kildare",32094.0
"068 Feighcullen, Co. Kildare",32811.0
"069 Gilltown, Co. Kildare",30916.0
"070 Kilcullen, Co. Kildare",28739.0
"071 Kildare, Co. Kildare",25674.0
"072 Kill, Co. Kildare",31460.0
"073 Killashee, Co. Kildare",44567.0
"074 Kilmeage North, Co. Kildare",25197.0
"075 Kilmeage South, Co. Kildare",25600.0
"076 Kilteel, Co. Kildare",30541.0
"077 Ladytown, Co. Kildare",35914.0
"078 Morristownbiller, Co. Kildare",26509.0
"079 Naas Rural, Co. Kildare",31394.0
"080 Newtown, Co. Kildare",33154.0
"081 Oldconnell, Co. Kildare",31637.0
"082 Oughterard, Co. Kildare",33454.0
"083 Pollardstown, Co. Kildare",31715.0
"084 Rathernan, Co. Kildare",28648.0
"085 Rathmore, Co. Kildare",30876.0
"086 Robertstown, Co. Kildare",26575.0
"087 Timahoe North, Co. Kildare",26267.0
"088 Timahoe South, Co. Kildare",26872.0
"089 Usk, Co. Kildare",30429.0
"001 Kilkenny No. 1 Urban, Co. Kilkenny",23705.0
"002 Kilkenny No. 2 Urban, Co. Kilkenny",25200.0
"003 Burnchurch, Co. Kilkenny",35115.0
"004 Callan Rural, Co. Kilkenny",28959.0
"005 Callan Urban, Co. Kilkenny",26271.0
"006 Coolaghmore, Co. Kilkenny",23935.0
"007 Dunamaggan, Co. Kilkenny",31200.0
"008 Earlstown, Co. Kilkenny",..
"009 Kells, Co. Kilkenny",26162.0
"010 Killamery, Co. Kilkenny",..
"011 Kilmaganny, Co. Kilkenny",25434.0
"012 Kilmanagh, Co. Kilkenny",28090.0
"013 Mallardstown, Co. Kilkenny",..
"014 Scotsborough, Co. Kilkenny",..
"015 Tullaghanbrogue, Co. Kilkenny",31451.0
"016 Boolyglass, Co. Kilkenny",..
"017 Fiddown, Co. Kilkenny",26977.0
"018 Muckalee, Co. Kilkenny",31789.0
"019 Pilltown, Co. Kilkenny",28024.0
"020 Templeorum, Co. Kilkenny",32006.0
"021 Tubbrid, Co. Kilkenny",30382.0
"022 Tullahought, Co. Kilkenny",24857.0
"023 Whitechurch, Co. Kilkenny",30005.0
"024 Attanagh, Co. Kilkenny",29843.0
"025 Ballyragget, Co. Kilkenny",26943.0
"026 Castlecomer, Co. Kilkenny",27803.0
"027 Clogh, Co. Kilkenny",27889.0
"028 Clogharinka, Co. Kilkenny",25672.0
"029 Kilmacar, Co. Kilkenny",34311.0
"030 Moneenroe, Co. Kilkenny",24845.0
"031 Mothell, Co. Kilkenny",29214.0
"032 Muckalee, Co. Kilkenny",33241.0
"033 Brownsford, Co. Kilkenny",33827.0
"034 Dysartmoon, Co. Kilkenny",28867.0
"035 Jerpoint West, Co. Kilkenny",34504.0
"036 Listerlin, Co. Kilkenny",31234.0
"037 Rosbercon Rural, Co. Kilkenny",25897.0
"038 Shanbogh, Co. Kilkenny",30959.0
"039 The Rower, Co. Kilkenny",30045.0
"040 Ballinamara, Co. Kilkenny",30189.0
"041 Ballybeagh, Co. Kilkenny",34518.0
"042 Ballycallan, Co. Kilkenny",..
"043 Clara, Co. Kilkenny",33432.0
"044 Coolcraheen, Co. Kilkenny",33717.0
"045 Dunbell, Co. Kilkenny",32300.0
"046 Dunmore, Co. Kilkenny",37939.0
"047 Freshford, Co. Kilkenny",24722.0
"048 Gowran, Co. Kilkenny",27882.0
"049 Grange, Co. Kilkenny",36286.0
"050 Kilkenny Rural, Co. Kilkenny",29065.0
"051 Kilkieran, Co. Kilkenny",34372.0
"052 Odagh, Co. Kilkenny",29734.0
"053 Outrath, Co. Kilkenny",33647.0
"054 Paulstown, Co. Kilkenny",30513.0
"055 Rathcoole, Co. Kilkenny",31270.0
"056 Rathealy, Co. Kilkenny",..
"057 St. Canice, Co. Kilkenny",32549.0
"058 Shankill, Co. Kilkenny",32011.0
"059 Tiscoffin, Co. Kilkenny",30952.0
"060 Tullaroan, Co. Kilkenny",32251.0
"061 Aghaviller, Co. Kilkenny",30243.0
"062 Ballyhale, Co. Kilkenny",31297.0
"063 Ballyvool, Co. Kilkenny",29636.0
"064 Bennettsbridge, Co. Kilkenny",28790.0
"065 Bramblestown, Co. Kilkenny",35342.0
"066 Castlebanny, Co. Kilkenny",33802.0
"067 Castlegannon, Co. Kilkenny",..
"068 Coolhill, Co. Kilkenny",30290.0
"069 Danesfort, Co. Kilkenny",29656.0
"070 Ennisnag, Co. Kilkenny",31889.0
"071 Famma, Co. Kilkenny",27451.0
"072 Freaghana, Co. Kilkenny",35000.0
"073 Goresbridge, Co. Kilkenny",21846.0
"074 Graiguenamanagh, Co. Kilkenny",24695.0
"075 Inistioge, Co. Kilkenny",27882.0
"076 Jerpoint Church, Co. Kilkenny",25467.0
"077 Kilfane, Co. Kilkenny",33243.0
"078 Kilkeasy, Co. Kilkenny",30305.0
"079 Kiltorcan, Co. Kilkenny",39352.0
"080 Knocktopher, Co. Kilkenny",30527.0
"081 Pleberstown, Co. Kilkenny",..
"082 Powerstown, Co. Kilkenny",25592.0
"083 Stonyford, Co. Kilkenny",28161.0
"084 Thomastown, Co. Kilkenny",28886.0
"085 Tullaherin, Co. Kilkenny",..
"086 Ullard, Co. Kilkenny",26873.0
"087 Woolengrange, Co. Kilkenny",..
"088 Balleen, Co. Kilkenny",31772.0
"089 Ballyconra, Co. Kilkenny",31429.0
"090 Baunmore, Co. Kilkenny",..
"091 Clomantagh, Co. Kilkenny",22691.0
"092 Galmoy, Co. Kilkenny",29740.0
"093 Glashare, Co. Kilkenny",29048.0
"094 Johnstown, Co. Kilkenny",26724.0
"095 Lisdowney, Co. Kilkenny",28967.0
"096 Rathbeagh, Co. Kilkenny",31027.0
"097 Tubbridbrittain, Co. Kilkenny",27767.0
"098 Urlingford, Co. Kilkenny",20251.0
"099 Aglish, Co. Kilkenny",32716.0
"100 Ballincrea, Co. Kilkenny",31113.0
"101 Dunkitt, Co. Kilkenny",30295.0
"102 Farnoge, Co. Kilkenny",30582.0
"103 Kilbeacon, Co. Kilkenny",32961.0
"104 Kilbride, Co. Kilkenny",28984.0
