"Proportion of households state pension was majority of household income"
"(%) by Electoral Division and Year"

" ","2016"
"128 Pembroke East D, Dublin City",9.9
"129 Pembroke East E, Dublin City",6.4
"130 Pembroke West A, Dublin City",10.3
"131 Pembroke West B, Dublin City",3.9
"132 Pembroke West C, Dublin City",4.4
"133 Rathfarnham, Dublin City",5.7
"134 Rathmines East A, Dublin City",6.2
"135 Rathmines East B, Dublin City",5.7
"136 Rathmines East C, Dublin City",7.3
"137 Rathmines East D, Dublin City",5.1
"138 Rathmines West A, Dublin City",8.9
"139 Rathmines West B, Dublin City",4.8
"140 Rathmines West C, Dublin City",3.0
"141 Rathmines West D, Dublin City",7.1
"142 Rathmines West E, Dublin City",5.8
"143 Rathmines West F, Dublin City",3.5
"144 Royal Exchange A, Dublin City",7.6
"145 Royal Exchange B, Dublin City",11.5
"146 St. Kevin's, Dublin City",5.3
"147 South Dock, Dublin City",4.7
"148 Terenure A, Dublin City",9.9
"149 Terenure B, Dublin City",11.1
"150 Terenure C, Dublin City",8.3
"151 Terenure D, Dublin City",7.7
"152 Ushers A, Dublin City",3.8
"153 Ushers B, Dublin City",3.7
"154 Ushers C, Dublin City",8.9
"155 Ushers D, Dublin City",8.5
"156 Ushers E, Dublin City",10.8
"157 Ushers F, Dublin City",8.6
"158 Walkinstown A, Dublin City",13.8
"159 Walkinstown B, Dublin City",19.6
"160 Walkinstown C, Dublin City",25.0
"161 Wood Quay A, Dublin City",16.5
"162 Wood Quay B, Dublin City",8.8
"001 Ballinascorney, South Dublin",8.1
"002 Ballyboden, South Dublin",7.4
"003 Bohernabreena, South Dublin",7.7
"004 Clondalkin-Ballymount, South Dublin",7.7
"005 Clondalkin-Cappaghmore, South Dublin",7.8
"006 Clondalkin-Dunawley, South Dublin",7.8
"007 Clondalkin-Monastery, South Dublin",8.4
"008 Clondalkin-Moorfield, South Dublin",10.5
"009 Clondalkin-Rowlagh, South Dublin",12.3
"010 Clondalkin Village, South Dublin",7.8
"011 Edmondstown, South Dublin",8.9
"012 Firhouse-Ballycullen, South Dublin",3.8
"013 Firhouse-Knocklyon, South Dublin",11.4
"014 Firhouse Village, South Dublin",6.1
"015 Lucan-Esker, South Dublin",2.5
"016 Lucan Heights, South Dublin",13.2
"017 Lucan-St. Helen's, South Dublin",7.3
"018 Newcastle, South Dublin",9.7
"019 Palmerston Village, South Dublin",21.3
