"Proportion of households working age social welfare was majority of"
"household income (%) by Electoral Division and Year"

" ","2016"
"014 Donaghmore, Co. Laois",15.6
"015 Donore, Co. Laois",9.5
"016 Dunmore, Co. Laois",4.7
"017 Durrow, Co. Laois",10.3
"018 Dysartgallen, Co. Laois",7.3
"019 Fossy, Co. Laois",16.1
"020 Grantstown, Co. Laois",1.7
"021 Kilcoke, Co. Laois",4.3
"022 Kildellig, Co. Laois",9.5
"023 Killermogh, Co. Laois",8.9
"024 Kilnaseer, Co. Laois",5.0
"025 Raheen, Co. Laois",9.4
"026 Rathdowney, Co. Laois",20.5
"027 Timahoe, Co. Laois",8.0
"028 Ballyadams, Co. Laois",6.3
"029 Ballylynan, Co. Laois",17.2
"030 Barrowhouse, Co. Laois",7.1
"031 Curraclone, Co. Laois",2.5
"032 Killabban, Co. Laois",6.9
"033 Luggacurren, Co. Laois",8.0
"034 Moyanna, Co. Laois",6.2
"035 Rathaspick, Co. Laois",7.1
"036 Stradbally, Co. Laois",16.8
"037 Tankardstown, Co. Laois",7.3
"038 Timogue, Co. Laois",6.1
"039 Vicarstown, Co. Laois",10.8
"040 Arderin, Co. Laois",15.9
"041 Ballybrittas, Co. Laois",7.8
"042 Ballycarroll, Co. Laois",4.2
"043 Ballyfin, Co. Laois",7.5
"044 Borris, Co. Laois",25.0
"999 Brisha / Capard",6.9
"047 Cappalough, Co. Laois",11.2
"048 Cardtown, Co. Laois",7.8
"049 Castlecuffe, Co. Laois",14.2
"050 Clonaslee, Co. Laois",16.6
"051 Clondarrig, Co. Laois",16.7
"052 Clonin, Co. Laois",10.1
"053 Coolrain, Co. Laois",7.7
"054 Dangans, Co. Laois",31.8
"055 Emo, Co. Laois",9.6
"056 Garrymore, Co. Laois",3.1
"057 Graigue, Co. Laois",13.2
"058 Jamestown, Co. Laois",9.3
"059 Kilcolmanbane, Co. Laois",5.6
"060 Kilmullen, Co. Laois",9.9
"061 Kilmurry, Co. Laois",7.5
"062 Lacka, Co. Laois",17.2
"063 Marymount, Co. Laois",6.3
"064 Meelick, Co. Laois",16.2
"065 Mountmellick Rural, Co. Laois",8.5
"066 Mountmellick Urban, Co. Laois",22.7
"067 Mountrath, Co. Laois",24.7
"068 Nealstown, Co. Laois",6.5
"069 O'More's Forest, Co. Laois",8.4
"070 Portarlington South, Co. Laois",19.4
"071 Portlaoighise (Maryborough) Rural, Co. Laois",19.3
"072 Portlaoighise (Maryborough) Urban, Co. Laois",23.0
"073 Rearymore, Co. Laois",9.5
"074 Rosenallis, Co. Laois",10.9
"075 Sallyford, Co. Laois",5.4
"076 Shaen, Co. Laois",7.6
"077 Tinnahinch, Co. Laois",14.5
"078 Trumra, Co. Laois",6.9
"079 Ballybrophy, Co. Laois",7.7
"080 Borris-in-Ossory, Co. Laois",18.4
"081 Clonmore, Co. Laois",18.7
"082 Errill, Co. Laois",17.0
"083 Kyle, Co. Laois",10.3
"084 Kyle South, Co. Laois",9.1
"085 Moneenalassa, Co. Laois",12.8
"086 Moneymore, Co. Laois",14.9
"087 Rathsaran, Co. Laois",10.7
"088 Ardough, Co. Laois",9.0
"089 Arless, Co. Laois",15.7
"090 Ballickmoyler, Co. Laois",10.1
"091 Ballylehane, Co. Laois",12.3
"092 Doonane, Co. Laois",23.6
"093 Farnans, Co. Laois",15.4
"094 Graigue Rural, Co. Laois",16.5
"095 Newtown, Co. Laois",13.9
"096 Rossmore, Co. Laois",8.5
"097 Shrule, Co. Laois",11.0
"098 Turra, Co. Laois",10.2
"001 Longford No. 1 Urban, Co. Longford",41.7
"002 Longford No. 2 Urban, Co. Longford",14.1
"003 Agharra, Co. Longford",16.1
"004 Ballymahon, Co. Longford",21.3
"005 Cashel East, Co. Longford",17.1
"006 Cashel West, Co. Longford",11.9
"007 Doory, Co. Longford",12.8
"008 Forgney, Co. Longford",8.2
"009 Foxhall, Co. Longford",28.2
"010 Kilcommock, Co. Longford",24.7
"011 Kilglass, Co. Longford",16.7
"012 Ledwithstown, Co. Longford",18.3
"013 Abbeylara, Co. Longford",13.7
"014 Ballinalee, Co. Longford",17.8
"015 Ballymuigh, Co. Longford",14.6
"016 Bunlahy, Co. Longford",20.6
"017 Columbkille, Co. Longford",14.5
"018 Coolamber, Co. Longford",14.2
"019 Creevy, Co. Longford",12.8
"020 Crosagstown, Co. Longford",10.6
"021 Currygrane, Co. Longford",10.9
"022 Dalystown, Co. Longford",20.0
"023 Drummeel, Co. Longford",14.3
"999 Firry / Newgrove",14.7
"025 Gelshagh, Co. Longford",14.3
"026 Granard Rural, Co. Longford",11.1
"027 Granard Urban, Co. Longford",21.4
"028 Knockanbaun, Co. Longford",14.5
"029 Lislea, Co. Longford",17.6
"030 Meathas Truim, Co. Longford",26.0
"031 Milltown, Co. Longford",12.0
"032 Moatfarrell, Co. Longford",12.9
"033 Moyne, Co. Longford",16.7
"034 Mullanalaghta, Co. Longford",6.7
"036 Sonnagh, Co. Longford",18.8
"037 Aghaboy, Co. Longford",15.7
"038 Ardagh East, Co. Longford",10.6
"039 Ardagh West, Co. Longford",10.2
"040 Ballinamuck East, Co. Longford",17.5
"041 Ballinamuck West, Co. Longford",22.0
"042 Breanrisk, Co. Longford",19.0
"043 Caldragh, Co. Longford",13.6
"044 Cloondara, Co. Longford",12.8
"045 Cloonee, Co. Longford",12.0
"046 Corboy, Co. Longford",12.4
"047 Drumgort, Co. Longford",8.8
"048 Drumlish, Co. Longford",18.3
"049 Killashee, Co. Longford",16.3
"050 Killoe, Co. Longford",20.0
"051 Longford Rural (Part Urban), Co. Longford",24.6
"052 Mountdavis, Co. Longford",3.8
"053 Moydow, Co. Longford",9.8
"054 Newtown Forbes, Co. Longford",23.0
"055 Rathcline, Co. Longford",15.5
"001 Fair Gate, Co. Louth",20.7
"002 St. Laurence Gate, Co. Louth",12.3
"003 West Gate, Co. Louth",19.5
"004 Dundalk Urban No. 1, Co. Louth",23.1
"005 Dundalk Urban No. 2, Co. Louth",26.7
"006 Dundalk Urban No. 3, Co. Louth",17.0
"007 Dundalk Urban No. 4, Co. Louth",16.6
"008 Ardee Rural, Co. Louth",7.6
"009 Ardee Urban, Co. Louth",22.9
"010 Castlebellingham, Co. Louth",13.9
"011 Clonkeen, Co. Louth",9.3
"012 Collon, Co. Louth",12.4
"013 Dromin, Co. Louth",7.2
"014 Dromiskin, Co. Louth",13.4
"015 Drumcar, Co. Louth",10.6
"016 Dunleer, Co. Louth",12.2
"017 Stabannan, Co. Louth",5.6
"018 Tallanstown, Co. Louth",13.8
"019 Ballymascanlan, Co. Louth",10.1
"020 Barronstown, Co. Louth",7.0
"021 Carlingford, Co. Louth",17.7
"022 Castlering, Co. Louth",8.4
"023 Castletown (Part Urban), Co. Louth",25.8
"024 Creggan Upper, Co. Louth",11.6
"025 Darver, Co. Louth",10.6
"026 Drummullagh, Co. Louth",23.3
"027 Dundalk Rural (Part Urban), Co. Louth",24.1
"028 Faughart, Co. Louth",13.7
"029 Greenore, Co. Louth",10.6
"030 Haggardstown (Part Urban), Co. Louth",8.9
"031 Jenkinstown, Co. Louth",5.9
"032 Killanny, Co. Louth",10.2
"033 Louth, Co. Louth",13.9
"034 Mansfieldstown, Co. Louth",11.4
"035 Rathcor, Co. Louth",12.0
"036 Ravensdale, Co. Louth",9.9
"037 Clogher, Co. Louth",11.3
"038 Dysart, Co. Louth",5.6
"039 Monasterboice, Co. Louth",5.4
"040 Mullary, Co. Louth",5.5
"041 St. Peter's (Part Urban), Co. Louth",16.5
"042 Termonfeckin, Co. Louth",8.8
"047 St. Mary's (Part Urban), Co. Louth",18.8
"001 Ceannanus Mór (Kells) Urban, Co. Meath",30.3
"002 Navan Urban, Co. Meath",20.5
"003 Trim Urban, Co. Meath",14.7
"004 Drumcondra, Co. Meath",11.8
"005 Grangegeeth, Co. Meath",10.0
"006 Killary, Co. Meath",8.6
"007 Culmullin, Co. Meath",1.5
"008 Donaghmore, Co. Meath",8.2
"009 Dunboyne, Co. Meath",5.3
"010 Dunshaughlin, Co. Meath",7.1
"011 Kilbrew, Co. Meath",6.7
"012 Killeen, Co. Meath",4.2
"013 Kilmessan, Co. Meath",6.2
"014 Kilmore, Co. Meath",5.6
"015 Rathfeigh, Co. Meath",5.3
"016 Ratoath, Co. Meath",6.0
"017 Rodanstown, Co. Meath",3.9
"018 Skreen, Co. Meath",4.0
"019 Ardagh, Co. Meath",12.7
"020 Ballinlough, Co. Meath",13.4
"021 Balrathboyne, Co. Meath",9.8
"022 Boherboy, Co. Meath",5.1
"023 Burry, Co. Meath",6.8
"024 Carrickleck, Co. Meath",8.3
"025 Castlekeeran, Co. Meath",10.0
"026 Ceannanus Mór (Kells) Rural (Part Urban), Co. Meath",10.8
"027 Cruicetown, Co. Meath",10.9
"028 Girley, Co. Meath",11.3
"029 Kilmainham, Co. Meath",18.3
"030 Kilskeer, Co. Meath",9.0
"031 Loughan, Co. Meath",11.8
"032 Maperath, Co. Meath",12.5
"033 Martry, Co. Meath",6.7
"034 Moybolgue, Co. Meath",8.8
"035 Moynalty, Co. Meath",10.3
"036 Newcastle, Co. Meath",6.8
"037 Newtown, Co. Meath",15.3
"038 Nobber, Co. Meath",14.0
"039 Posseckstown, Co. Meath",7.6
"040 Staholmog, Co. Meath",11.9
"041 Tailtin, Co. Meath",10.2
"042 Trohanny, Co. Meath",8.1
"043 Ardcath, Co. Meath",8.1
"044 Duleek, Co. Meath",12.2
"045 Julianstown, Co. Meath",12.2
"046 Mellifont, Co. Meath",4.9
"047 St. Mary's (Part Rural), Co. Meath",7.6
"048 Stamullin, Co. Meath",7.9
"049 Ardbraccan, Co. Meath",8.5
"050 Ardmulchan, Co. Meath",3.7
"051 Bective, Co. Meath",5.0
"052 Castletown, Co. Meath",11.9
"053 Domhnach Phádraig, Co. Meath",8.1
"054 Kentstown, Co. Meath",8.9
"055 Navan Rural (Part Urban), Co. Meath",14.1
"056 Painestown, Co. Meath",7.1
"057 Rathkenny, Co. Meath",12.1
"058 Slane, Co. Meath",12.8
"059 Stackallan, Co. Meath",6.5
"060 Tara, Co. Meath",4.8
"061 Crossakeel, Co. Meath",13.2
"062 Crosskeys, Co. Meath",15.3
"063 Killallon, Co. Meath",4.8
"064 Killeagh, Co. Meath",11.2
"065 Knocklough, Co. Meath",10.7
"066 Moylagh, Co. Meath",12.5
"067 Oldcastle, Co. Meath",18.4
"068 Stonefield, Co. Meath",9.2
"069 Ardnamullan, Co. Meath",15.5
"070 Baile Átha Buí, Co. Meath",15.8
"071 Ballyboggan, Co. Meath",11.9
"072 Ballyconnell, Co. Meath",6.9
"073 Castlejordan, Co. Meath",20.9
"074 Castlerickard, Co. Meath",7.0
"075 Cloghbrack, Co. Meath",14.5
"076 Clonmacduff, Co. Meath",2.1
"077 Gallow, Co. Meath",2.9
"078 Galtrim, Co. Meath",4.7
"079 Grennanstown, Co. Meath",9.9
"080 Hill of Down, Co. Meath",3.0
"081 Innfield, Co. Meath",8.2
"082 Cill Bhríde, Co. Meath",5.1
"083 Kilcooly, Co. Meath",2.5
"084 Kildalky, Co. Meath",12.1
"085 Killaconnigan, Co. Meath",20.2
"086 Killyon, Co. Meath",8.0
"087 Laracor, Co. Meath",3.2
"088 Rahinstown, Co. Meath",7.5
"089 Rathmolyon, Co. Meath",7.9
"090 An Ráth Mhór, Co. Meath",6.7
"091 Summerhill, Co. Meath",15.9
"092 Trim Rural (Part Urban), Co. Meath",10.5
"001 Birr Urban, Co. Offaly",24.3
"002 Tullamore Urban, Co. Offaly",24.2
"003 Ballycumber, Co. Offaly",18.9
"004 Banagher, Co. Offaly",19.5
"005 Birr Rural, Co. Offaly",20.7
"006 Broughal, Co. Offaly",11.1
"007 Cloghan, Co. Offaly",19.5
"008 Clonmacnoise, Co. Offaly",6.1
"009 Derrinboy, Co. Offaly",6.2
"010 Derryad, Co. Offaly",10.1
"011 Doon, Co. Offaly",7.8
"012 Dromoyle, Co. Offaly",6.5
"013 Drumcullen, Co. Offaly",8.0
"014 Eglish, Co. Offaly",16.1
"015 Ferbane, Co. Offaly",10.8
"016 Gallen, Co. Offaly",23.6
"017 Hinds, Co. Offaly",4.5
"018 Huntston, Co. Offaly",15.9
"019 Kilcolman, Co. Offaly",15.2
"020 Kilcormac, Co. Offaly",18.8
"021 Killyon, Co. Offaly",5.7
"022 Kinnitty, Co. Offaly",17.7
"023 Knockbarron, Co. Offaly",18.8
"024 Lea, Co. Offaly",17.1
"025 Letter, Co. Offaly",7.8
"026 Lumcloon, Co. Offaly",17.5
"027 Lusmagh, Co. Offaly",10.2
"028 Mounterin, Co. Offaly",4.9
"029 Moyclare, Co. Offaly",6.8
"030 Seirkieran, Co. Offaly",9.9
"031 Shannonbridge, Co. Offaly",9.3
"032 Shannonharbour, Co. Offaly",12.1
"033 Srah, Co. Offaly",21.1
"035 Ballyburly, Co. Offaly",17.5
"036 Ballymacwilliam, Co. Offaly",13.0
"037 Bracknagh, Co. Offaly",15.7
"038 Clonbulloge, Co. Offaly",16.9
"039 Clonmore, Co. Offaly",9.7
"040 Croghan, Co. Offaly",9.6
"041 Edenderry Rural, Co. Offaly",8.6
"042 Edenderry Urban, Co. Offaly",21.9
"999 Esker / Ballaghassaan",9.0
"044 Knockdrin, Co. Offaly",11.7
"045 Monasteroris, Co. Offaly",7.8
"046 Aghancon, Co. Offaly",9.1
"047 Ballincor, Co. Offaly",1.7
"048 Barna, Co. Offaly",15.5
"049 Cangort, Co. Offaly",16.1
"050 Cullenwaine, Co. Offaly",10.0
"051 Dunkerrin, Co. Offaly",7.4
"052 Ettagh, Co. Offaly",8.8
"053 Gorteen, Co. Offaly",12.2
"054 Mountheaton, Co. Offaly",12.7
"055 Roscomroe, Co. Offaly",14.9
"056 Shinrone, Co. Offaly",18.0
"057 Templeharry, Co. Offaly",17.5
"058 Tulla, Co. Offaly",5.6
"059 Ballycommon, Co. Offaly",8.2
"060 Ballyshear, Co. Offaly",8.7
"061 Bawn, Co. Offaly",13.8
"062 Cappancur, Co. Offaly",13.7
"063 Clara, Co. Offaly",22.6
"064 Clonygowan, Co. Offaly",13.0
"065 Daingean, Co. Offaly",19.7
"066 Derrycooley, Co. Offaly",15.3
"067 Durrow, Co. Offaly",6.6
"068 Geashill, Co. Offaly",11.9
"069 Gorteen, Co. Offaly",13.8
"070 Hammerlane, Co. Offaly",8.9
"071 Kilclonfert, Co. Offaly",11.1
"072 Kilcumreragh, Co. Offaly",6.3
"073 Killeigh, Co. Offaly",9.2
"074 Killooly, Co. Offaly",3.4
"075 Killoughy, Co. Offaly",12.6
"076 Mountbriscoe, Co. Offaly",9.5
"077 O'Dempsey, Co. Offaly",10.2
"078 Portarlington North, Co. Offaly",20.7
"079 Rahan, Co. Offaly",11.6
"080 Raheenakeeran, Co. Offaly",11.8
"081 Rathfeston, Co. Offaly",11.8
"082 Rathrobin, Co. Offaly",10.0
"083 Screggan, Co. Offaly",10.2
"084 Silverbrook, Co. Offaly",6.4
"085 Tinamuck, Co. Offaly",8.9
"086 Tinnycross, Co. Offaly",5.0
"087 Tullamore Rural, Co. Offaly",11.2
"001 Athlone East Urban, Co. Westmeath",20.6
"002 Athlone West Urban, Co. Westmeath",25.5
"003 Athlone East Rural (Part Urban), Co. Westmeath",21.1
"004 Auburn, Co. Westmeath",6.1
"005 Ballybroder, Co. Westmeath",4.2
"006 Bellanalack, Co. Westmeath",8.7
"007 Carn, Co. Westmeath",6.3
"008 Castledaly, Co. Westmeath",10.7
"009 Glassan, Co. Westmeath",5.8
"010 Kilcumreragh, Co. Westmeath",7.3
"011 Killinure, Co. Westmeath",9.5
"012 Moate, Co. Westmeath",18.6
"013 Mount Temple, Co. Westmeath",7.2
"014 Moydrum (Part Urban), Co. Westmeath",7.1
"015 Muckanagh, Co. Westmeath",12.5
"016 Tubbrit, Co. Westmeath",7.5
"017 Umma, Co. Westmeath",5.4
"018 Ardnagragh, Co. Westmeath",4.7
"019 Ballymore, Co. Westmeath",18.1
"020 Doonis, Co. Westmeath",7.1
"021 Drumraney, Co. Westmeath",13.1
"022 Noughaval, Co. Westmeath",8.3
"023 Piercetown, Co. Westmeath",7.9
"024 Templepatrick, Co. Westmeath",10.0
"025 Winetown, Co. Westmeath",11.1
"026 Boherquill, Co. Westmeath",18.9
"027 Coole, Co. Westmeath",14.0
"028 Coolure, Co. Westmeath",14.0
"029 Finnea, Co. Westmeath",15.8
"030 Glore, Co. Westmeath",9.4
"031 Knockarrow, Co. Westmeath",15.9
"032 Rathowen, Co. Westmeath",22.6
"033 Street, Co. Westmeath",15.7
"034 Ballinlough, Co. Westmeath",5.4
"035 Ballyhealy, Co. Westmeath",16.8
"036 Ballynaskeagh, Co. Westmeath",12.1
"037 Bracklin, Co. Westmeath",9.1
"038 Clonarney, Co. Westmeath",13.8
"039 Collinstown, Co. Westmeath",21.5
"040 Copperalley, Co. Westmeath",14.0
"041 Delvin, Co. Westmeath",24.7
"042 Faughalstown, Co. Westmeath",3.7
"043 Fore East, Co. Westmeath",10.2
"044 Fore West, Co. Westmeath",12.6
"045 Hilltown, Co. Westmeath",8.2
"046 Kilcumny, Co. Westmeath",17.5
"047 Killua, Co. Westmeath",10.4
"048 Killulagh, Co. Westmeath",11.5
"049 Kilpatrick, Co. Westmeath",1.4
"050 Kinturk, Co. Westmeath",19.9
"051 Riverdale, Co. Westmeath",14.1
"052 Rosmead, Co. Westmeath",16.5
"053 Ardnaglew, Co. Westmeath",3.4
"999 Ballinalack / Lackan",10.6
"055 Ballykilmore, Co. Westmeath",15.1
"056 Ballymorin, Co. Westmeath",7.7
"057 Ballynagore, Co. Westmeath",10.3
"058 Belvidere, Co. Westmeath",6.2
"059 Carrick, Co. Westmeath",5.3
"060 Castle, Co. Westmeath",7.9
"061 Castlelost, Co. Westmeath",21.4
"062 Castletown, Co. Westmeath",11.6
"063 Churchtown, Co. Westmeath",7.8
"064 Cloghan, Co. Westmeath",8.8
"065 Clonfad, Co. Westmeath",13.1
"066 Clonlost, Co. Westmeath",14.6
"067 Derrymore, Co. Westmeath",5.4
"068 Dysart, Co. Westmeath",3.7
"069 Emper, Co. Westmeath",12.2
"070 Enniscoffey, Co. Westmeath",11.5
"071 Gaybrook, Co. Westmeath",4.7
"072 Glenlough, Co. Westmeath",7.4
"073 Greenpark, Co. Westmeath",7.8
"074 Griffinstown, Co. Westmeath",6.3
"075 Heathstown, Co. Westmeath",9.6
"076 Hopestown, Co. Westmeath",7.4
"077 Huntingdon, Co. Westmeath",15.8
"078 Jamestown, Co. Westmeath",12.8
"079 Kilbeggan, Co. Westmeath",17.8
"080 Kilbixy, Co. Westmeath",22.2
"081 Killare, Co. Westmeath",9.3
"082 Killucan, Co. Westmeath",14.9
"083 Kinnegad, Co. Westmeath",19.2
"084 Knockdrin, Co. Westmeath",7.0
"086 Lauree, Co. Westmeath",11.3
"087 Middleton, Co. Westmeath",10.7
"088 Milltown, Co. Westmeath",20.9
"089 Mullingar Rural, Co. Westmeath",14.7
"090 Mullingar North Urban, Co. Westmeath",33.1
"091 Mullingar South Urban, Co. Westmeath",16.6
"092 Multyfarnham, Co. Westmeath",9.8
"093 Newtown, Co. Westmeath",7.9
"094 Owel, Co. Westmeath",4.4
"095 Portloman, Co. Westmeath",6.5
"096 Raharney, Co. Westmeath",19.4
"097 Rahugh, Co. Westmeath",8.0
"098 Rathconrath, Co. Westmeath",6.5
"099 Russellstown, Co. Westmeath",5.8
"100 Skeagh, Co. Westmeath",9.1
"101 Sonna, Co. Westmeath",16.5
"102 Stonehall, Co. Westmeath",11.4
"103 Streamstown, Co. Westmeath",18.9
"104 Taghmon, Co. Westmeath",8.8
"105 Tullaghan, Co. Westmeath",3.1
"106 Woodland, Co. Westmeath",7.7
"001 Enniscorthy Urban, Co. Wexford",32.4
"002 New Ross Urban, Co. Wexford",27.7
"003 Rosbercon Urban, Co. Wexford",29.7
"004 Wexford No. 1 Urban, Co. Wexford",24.3
"005 Wexford No. 2 Urban, Co. Wexford",23.8
"006 Wexford No. 3 Urban, Co. Wexford",28.6
"007 Ballindaggan, Co. Wexford",18.0
"008 Ballycarney, Co. Wexford",8.1
"009 Ballyhoge, Co. Wexford",15.7
"010 Ballyhuskard, Co. Wexford",16.9
"011 Ballymore, Co. Wexford",13.6
"012 Ballyvaldon, Co. Wexford",13.4
"013 Bolaboy, Co. Wexford",20.0
"014 Bree, Co. Wexford",11.5
"015 Castleboro, Co. Wexford",11.7
"016 Castledockrell, Co. Wexford",15.2
"017 Castle Ellis, Co. Wexford",12.4
"018 Castle Talbot, Co. Wexford",17.0
"019 Clonroche, Co. Wexford",22.2
"020 Edermine, Co. Wexford",15.3
"021 Enniscorthy Rural (Part Urban), Co. Wexford",25.7
"022 Ferns, Co. Wexford",22.8
"023 Kilbora, Co. Wexford",12.8
"024 Kilcormick, Co. Wexford",14.5
"025 Killann, Co. Wexford",10.2
"026 Kilmallock, Co. Wexford",11.9
"027 Killoughrum, Co. Wexford",10.1
"028 Kilrush, Co. Wexford",11.7
"029 Kiltealy, Co. Wexford",11.9
"030 Marshalstown, Co. Wexford",15.4
"031 Moyacomb, Co. Wexford",8.6
"032 Newtownbarry, Co. Wexford",21.4
"033 Rossard, Co. Wexford",8.4
"034 St. Mary's, Co. Wexford",11.0
"035 The Harrow, Co. Wexford",11.5
"036 The Leap, Co. Wexford",13.3
"037 Tinnacross, Co. Wexford",14.0
"038 Tombrack, Co. Wexford",13.2
"039 Ardamine, Co. Wexford",24.7
"040 Balloughter, Co. Wexford",12.8
"041 Ballybeg, Co. Wexford",11.3
"042 Ballycanew, Co. Wexford",21.3
"043 Ballyellis, Co. Wexford",14.6
"044 Ballygarrett, Co. Wexford",19.4
"045 Ballylarkin, Co. Wexford",13.1
"046 Ballynestragh, Co. Wexford",9.2
"047 Cahore, Co. Wexford",11.8
"048 Coolgreany, Co. Wexford",13.1
"049 Courtown, Co. Wexford",14.7
"050 Ford, Co. Wexford",18.7
"051 Gorey Rural, Co. Wexford",19.3
"052 Gorey Urban, Co. Wexford",22.2
"053 Huntingtown, Co. Wexford",7.8
"054 Kilcomb, Co. Wexford",17.7
"055 Kilgorman, Co. Wexford",12.5
"056 Killenagh, Co. Wexford",14.2
"057 Killincooly, Co. Wexford",25.1
"058 Kilnahue, Co. Wexford",8.8
"059 Limerick, Co. Wexford",11.2
"060 Monamolin, Co. Wexford",13.7
"061 Monaseed, Co. Wexford",8.3
"062 Rossminoge, Co. Wexford",11.9
"063 Wells, Co. Wexford",11.8
"064 Wingfield, Co. Wexford",13.7
"065 Adamstown, Co. Wexford",20.5
"066 Ballyanne, Co. Wexford",14.7
"067 Ballyhack, Co. Wexford",13.8
"068 Barrack Village, Co. Wexford",10.0
"069 Barronstown, Co. Wexford",8.5
"070 Carnagh, Co. Wexford",12.0
"071 Carrickbyrne, Co. Wexford",15.3
"072 Clongeen, Co. Wexford",19.9
"073 Clonleigh, Co. Wexford",5.9
"074 Dunmain, Co. Wexford",12.9
"075 Fethard, Co. Wexford",14.4
"076 Horetown, Co. Wexford",10.5
"077 Inch, Co. Wexford",14.2
"078 Kilgarvan, Co. Wexford",8.9
"079 Killesk, Co. Wexford",16.0
"080 Kilmokea, Co. Wexford",22.1
"081 Newbawn, Co. Wexford",17.3
"082 New Ross Rural, Co. Wexford",21.1
"083 Oldcourt, Co. Wexford",8.0
"084 Old Ross, Co. Wexford",12.9
"085 Rathroe, Co. Wexford",11.7
"086 Rochestown, Co. Wexford",5.0
"087 Templeludigan, Co. Wexford",9.2
"088 Templetown, Co. Wexford",14.6
"089 Tintern, Co. Wexford",19.9
"090 Whitechurch, Co. Wexford",7.4
"091 Whitemoor, Co. Wexford",11.8
"092 Ardcavan, Co. Wexford",14.8
"093 Ardcolm, Co. Wexford",14.7
"094 Artramon, Co. Wexford",9.5
"095 Aughwilliam, Co. Wexford",8.6
"096 Ballymitty, Co. Wexford",15.7
"097 Bannow, Co. Wexford",18.3
"098 Bridgetown, Co. Wexford",10.0
"099 Carrick, Co. Wexford",4.7
"100 Drinagh, Co. Wexford",13.4
"101 Duncormick, Co. Wexford",17.7
"102 Forth, Co. Wexford",15.1
"103 Glynn, Co. Wexford",9.7
"104 Harperstown, Co. Wexford",10.0
"105 Harristown, Co. Wexford",13.0
"106 Kilbride, Co. Wexford",9.0
"107 Kilcowan, Co. Wexford",12.6
"108 Killag, Co. Wexford",14.8
"109 Killinick, Co. Wexford",9.4
"110 Killurin, Co. Wexford",9.4
"111 Kilmore, Co. Wexford",19.8
"112 Kilpatrick, Co. Wexford",6.8
"113 Kilscoran, Co. Wexford",16.9
"114 Lady's Island, Co. Wexford",18.3
"115 Mayglass, Co. Wexford",13.5
"116 Newcastle, Co. Wexford",10.3
"117 Rathaspick, Co. Wexford",12.7
"118 Rosslare, Co. Wexford",16.0
"119 St. Helen's, Co. Wexford",16.7
"120 Tacumshin, Co. Wexford",12.4
"121 Taghmon, Co. Wexford",27.7
"122 Tomhaggard, Co. Wexford",13.2
"123 Wexford Rural (Part Urban), Co. Wexford",17.0
"124 Whitechurch, Co. Wexford",12.8
"001 Arklow No. 1 Urban, Co. Wicklow",23.0
"002 Arklow No. 2 Urban, Co. Wicklow",20.9
"003 Bray No. 1, Co. Wicklow",24.2
"004 Bray No. 2, Co. Wicklow",8.6
"005 Bray No. 3, Co. Wicklow",9.8
"006 Rathmichael (Bray), Co. Wicklow",24.8
"007 Wicklow Urban, Co. Wicklow",19.6
"008 Ballinguile, Co. Wicklow",12.8
"009 Baltinglass, Co. Wicklow",21.5
"010 Blessington, Co. Wicklow",9.2
"011 Burgage, Co. Wicklow",6.8
"012 Donaghmore, Co. Wicklow",11.8
"013 Donard, Co. Wicklow",13.6
"014 Dunlavin, Co. Wicklow",18.4
"015 Eadestown, Co. Wicklow",12.1
"016 Hartstown, Co. Wicklow",4.3
"017 Hollywood, Co. Wicklow",3.7
"018 Humewood, Co. Wicklow",12.9
"019 Imael North, Co. Wicklow",6.0
"020 Imael South, Co. Wicklow",4.6
"021 Kilbride, Co. Wicklow",3.7
"022 Lackan, Co. Wicklow",8.9
"023 Lugglass, Co. Wicklow",9.8
"024 Rathdangan, Co. Wicklow",12.3
"025 Rathsallagh, Co. Wicklow",10.3
"026 Stratford, Co. Wicklow",15.5
"027 Talbotstown, Co. Wicklow",7.1
"028 The Grange, Co. Wicklow",10.1
"029 Tober, Co. Wicklow",7.8
"030 Togher, Co. Wicklow",10.5
"031 Tuckmill, Co. Wicklow",6.3
"032 Delgany, Co. Wicklow",7.9
"033 Enniskerry, Co. Wicklow",6.7
"034 Greystones, Co. Wicklow",5.4
"035 Kilmacanoge (Part Urban), Co. Wicklow",10.5
"036 Powerscourt, Co. Wicklow",3.2
"037 Altidore, Co. Wicklow",6.2
"038 Arklow Rural, Co. Wicklow",15.4
"039 Aughrim, Co. Wicklow",17.1
"040 Avoca, Co. Wicklow",18.7
"041 Ballinaclash, Co. Wicklow",16.2
"042 Ballinacor, Co. Wicklow",12.1
"043 Ballinderry, Co. Wicklow",11.0
"044 Ballyarthur, Co. Wicklow",14.5
"045 Ballycullen, Co. Wicklow",7.7
"046 Brockagh, Co. Wicklow",7.2
"047 Calary, Co. Wicklow",8.4
"048 Cronebane, Co. Wicklow",18.3
"049 Dunganstown East, Co. Wicklow",6.1
"050 Dunganstown South, Co. Wicklow",15.3
"051 Dunganstown West, Co. Wicklow",3.9
"052 Ennereilly, Co. Wicklow",10.3
"053 Glendalough, Co. Wicklow",8.6
"054 Glenealy, Co. Wicklow",12.3
"055 Kilbride, Co. Wicklow",10.0
"056 Kilcoole, Co. Wicklow",7.8
"057 Killiskey, Co. Wicklow",8.9
"058 Knockrath, Co. Wicklow",9.2
"059 Moneystown, Co. Wicklow",1.9
