"Proportion of households working age social welfare was majority of"
"household income (%) by Electoral Division and Year"

" ","2016"
"136 Rathmines East C, Dublin City",2.9
"137 Rathmines East D, Dublin City",4.8
"138 Rathmines West A, Dublin City",10.5
"139 Rathmines West B, Dublin City",10.5
"140 Rathmines West C, Dublin City",5.7
"141 Rathmines West D, Dublin City",9.1
"142 Rathmines West E, Dublin City",7.2
"143 Rathmines West F, Dublin City",10.1
"144 Royal Exchange A, Dublin City",13.2
"145 Royal Exchange B, Dublin City",27.2
"146 St. Kevin's, Dublin City",9.8
"147 South Dock, Dublin City",6.8
"148 Terenure A, Dublin City",6.6
"149 Terenure B, Dublin City",7.5
"150 Terenure C, Dublin City",2.9
"151 Terenure D, Dublin City",2.2
"152 Ushers A, Dublin City",7.7
"153 Ushers B, Dublin City",20.2
"154 Ushers C, Dublin City",25.4
"155 Ushers D, Dublin City",19.7
"156 Ushers E, Dublin City",26.4
"157 Ushers F, Dublin City",12.2
"158 Walkinstown A, Dublin City",15.2
"159 Walkinstown B, Dublin City",11.1
"160 Walkinstown C, Dublin City",11.8
"161 Wood Quay A, Dublin City",29.3
"162 Wood Quay B, Dublin City",11.1
"001 Ballinascorney, South Dublin",17.9
"002 Ballyboden, South Dublin",3.4
"003 Bohernabreena, South Dublin",11.2
"004 Clondalkin-Ballymount, South Dublin",10.4
"005 Clondalkin-Cappaghmore, South Dublin",37.6
"006 Clondalkin-Dunawley, South Dublin",24.8
"007 Clondalkin-Monastery, South Dublin",12.4
"008 Clondalkin-Moorfield, South Dublin",23.5
"009 Clondalkin-Rowlagh, South Dublin",27.6
"010 Clondalkin Village, South Dublin",13.6
"011 Edmondstown, South Dublin",13.0
"012 Firhouse-Ballycullen, South Dublin",4.2
"013 Firhouse-Knocklyon, South Dublin",2.8
"014 Firhouse Village, South Dublin",8.3
"015 Lucan-Esker, South Dublin",9.6
"016 Lucan Heights, South Dublin",8.2
"017 Lucan-St. Helen's, South Dublin",8.9
"018 Newcastle, South Dublin",8.2
"019 Palmerston Village, South Dublin",7.3
"020 Palmerston West, South Dublin",17.2
"021 Rathcoole, South Dublin",7.5
"022 Rathfarnham-Ballyroan, South Dublin",1.5
"023 Rathfarnham-Butterfield, South Dublin",2.0
"024 Rathfarnham-Hermitage, South Dublin",3.4
"025 Rathfarnham-St. Enda's, South Dublin",4.9
"026 Rathfarnham Village, South Dublin",4.4
"027 Saggart, South Dublin",12.8
"028 Tallaght-Avonbeg, South Dublin",21.8
"029 Tallaght-Belgard, South Dublin",8.7
"030 Tallaght-Fettercairn, South Dublin",34.5
"031 Tallaght-Glenview, South Dublin",12.5
"032 Tallaght-Jobstown, South Dublin",27.8
"033 Tallaght-Killinardan, South Dublin",32.9
"034 Tallaght-Kilnamanagh, South Dublin",8.2
"035 Tallaght-Kiltipper, South Dublin",22.7
"036 Tallaght-Kingswood, South Dublin",11.2
"037 Tallaght-Millbrook, South Dublin",11.1
"038 Tallaght-Oldbawn, South Dublin",10.2
"039 Tallaght-Springfield, South Dublin",19.6
"040 Tallaght-Tymon, South Dublin",17.0
"041 Templeogue-Cypress, South Dublin",2.4
"042 Templeogue-Kimmage Manor, South Dublin",2.4
"043 Templeogue-Limekiln, South Dublin",5.5
"044 Templeogue-Orwell, South Dublin",1.7
"045 Templeogue-Osprey, South Dublin",3.8
"046 Templeogue Village, South Dublin",1.4
"047 Terenure-Cherryfield, South Dublin",9.4
"048 Terenure-Greentrees, South Dublin",4.5
"049 Terenure-St. James, South Dublin",6.1
"001 Airport, Fingal",12.3
"002 Balbriggan Rural, Fingal",21.6
"003 Balbriggan Urban, Fingal",17.7
"004 Baldoyle, Fingal",8.9
"005 Balgriffin, Fingal",7.4
"006 Ballyboghil, Fingal",6.3
"007 Balscadden, Fingal",12.8
"008 Blanchardstown-Abbotstown, Fingal",11.8
"009 Blanchardstown-Blakestown, Fingal",12.6
"010 Blanchardstown-Coolmine, Fingal",18.6
"011 Blanchardstown-Corduff, Fingal",20.6
"012 Blanchardstown-Delwood, Fingal",6.9
"013 Blanchardstown-Mulhuddart, Fingal",28.4
"014 Blanchardstown-Roselawn, Fingal",7.7
"015 Blanchardstown-Tyrrelstown, Fingal",36.4
"016 Castleknock-Knockmaroon, Fingal",5.3
"017 Castleknock-Park, Fingal",2.8
"018 Clonmethan, Fingal",10.0
"019 Donabate, Fingal",8.1
"020 Dubber, Fingal",16.8
"021 Garristown, Fingal",7.2
"022 Hollywood, Fingal",6.2
"023 Holmpatrick, Fingal",4.7
"024 Howth, Fingal",3.0
"025 Kilsallaghan, Fingal",8.6
"026 Kinsaley, Fingal",8.1
"027 Lucan North, Fingal",2.7
"028 Lusk, Fingal",9.6
"029 Malahide East, Fingal",3.7
"030 Malahide West, Fingal",2.7
"031 Portmarnock North, Fingal",2.7
"032 Portmarnock South, Fingal",3.6
"033 Rush, Fingal",11.1
"034 Skerries, Fingal",9.7
"035 Sutton, Fingal",4.3
"036 Swords-Forrest, Fingal",6.6
"037 Swords-Glasmore, Fingal",9.7
"038 Swords-Lissenhall, Fingal",11.6
"039 Swords-Seatown, Fingal",5.5
"040 Swords Village, Fingal",8.3
"041 The Ward, Fingal",13.2
"042 Turnapin, Fingal",8.3
"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",3.5
"002 Ballinteer-Ludford, Dún Laoghaire-Rathdown",2.6
"003 Ballinteer-Marley, Dún Laoghaire-Rathdown",4.0
"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",2.2
"005 Ballinteer-Meadowmount, Dún Laoghaire-Rathdown",11.4
"006 Ballinteer-Woodpark, Dún Laoghaire-Rathdown",4.3
"007 Ballybrack, Dún Laoghaire-Rathdown",5.3
"008 Blackrock-Booterstown, Dún Laoghaire-Rathdown",2.4
"009 Blackrock-Carysfort, Dún Laoghaire-Rathdown",2.6
"010 Blackrock-Central, Dún Laoghaire-Rathdown",2.4
"011 Blackrock-Glenomena, Dún Laoghaire-Rathdown",1.8
"012 Blackrock-Monkstown, Dún Laoghaire-Rathdown",2.8
"013 Blackrock-Newpark, Dún Laoghaire-Rathdown",4.4
"014 Blackrock-Seapoint, Dún Laoghaire-Rathdown",5.0
"015 Blackrock-Stradbrook, Dún Laoghaire-Rathdown",5.7
"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",10.0
"017 Blackrock-Williamstown, Dún Laoghaire-Rathdown",3.2
"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",6.3
"019 Cabinteely-Kilbogget, Dún Laoghaire-Rathdown",8.7
"020 Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown",6.9
"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",4.4
