,Household median gross income (Euro) by Electoral Division and Year,
,,
859,"087 Laracor, Co. Meath",65383
2026,"014 Dunnaman, Co. Limerick",65381
351,"044 Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown",65310
1511,"025 Knockavilly, Co. Cork",65306
1213,"034 Greystones, Co. Wicklow",65291
311,"004 Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown",65210
31,"031 Killerrig, Co. Carlow",65153
2079,"068 Roxborough, Co. Limerick",65136
2565,"093 Killeenavarra, Co. Galway",65090
416,"040 Maynooth, Co. Kildare",65021
2521,"049 Clarinbridge, Co. Galway",64969
439,"063 Donore, Co. Kildare",64923
238,"022 Rathfarnham-Ballyroan, South Dublin",64915
2126,"115 Dromard, Co. Limerick",64842
297,"032 Portmarnock South, Fingal",64831
369,"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",64827
405,"029 Narraghmore, Co. Kildare",64823
1587,"102 Riverstown, Co. Cork",64573
2564,"092 Killeely, Co. Galway",64526
301,"036 Swords-Forrest, Fingal",64455
2376,"017 Kilronan, Co. Waterford",64435
1681,"196 Templemichael, Co. Cork",64400
1212,"033 Enniskerry, Co. Wicklow",64393
231,"015 Lucan-Esker, South Dublin",64278
1505,"019 Brinny, Co. Cork",64263
357,"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",64242
1514,"028 Murragh, Co. Cork",64230
1673,"188 Kilpatrick, Co. Cork",64157
1517,"031 Templemartin, Co. Cork",64111
60,"006 Ashtown A, Dublin City",63947
409,"033 Balraheen, Co. Kildare",63910
633,"056 Garrymore, Co. Laois",63831
1568,"083 Carrignavar, Co. Cork",63799
522,"057 St. Canice, Co. Kilkenny",63726
340,"033 Dalkey-Bullock, Dún Laoghaire-Rathdown",63590
959,"009 Glassan, Co. Westmeath",63582
1569,"084 Carrigrohane Beg, Co. Cork",63537
521,"056 Rathealy, Co. Kilkenny",63529
188,"134 Rathmines East A, Dublin City",63520
410,"034 Celbridge, Co. Kildare",63502
455,"079 Naas Rural, Co. Kildare",63368
1561,"076 Ballygarvan, Co. Cork",63311
323,"016 Blackrock-Templehill, Dún Laoghaire-Rathdown",63300
230,"014 Firhouse Village, South Dublin",63175
1667,"182 Ballymartle, Co. Cork",63083
101,"047 Drumcondra South A, Dublin City",63028
2072,"060 Clarina, Co. Limerick",63013
2530,"058 Lisín an Bhealaigh, Co. Galway",62994
1026,"076 Hopestown, Co. Westmeath",62992
1642,"157 Coolclogh, Co. Cork",62983
61,"007 Ashtown B, Dublin City",62947
2187,"040 Killoscully, North Tipperary",62937
1747,"262 Rostellan, Co. Cork",62919
2586,"114 Greethill, Co. Galway",62876
1550,"065 Kilmaloda East, Co. Cork",62865
1672,"187 Kilmonoge, Co. Cork",62838
338,"031 Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown",62834
456,"080 Newtown, Co. Kildare",62815
1453,"041 Knockrea B, Cork City",62791
530,"065 Bramblestown, Co. Kilkenny",62745
287,"022 Hollywood, Fingal",62735
424,"048 Dunfierth, Co. Kildare",62719
1581,"096 Lehenagh, Co. Cork",62702
2432,"073 Islandikane, Co. Waterford",62685
554,"089 Ballyconra, Co. Kilkenny",62682
273,"008 Blanchardstown-Abbotstown, Fingal",62675
82,"028 Botanic B, Dublin City",62621
415,"039 Leixlip, Co. Kildare",62616
100,"046 Clontarf West E, Dublin City",62601
1425,"013 Browningstown, Cork City",62532
1743,"258 Inch, Co. Cork",62451
1576,"091 Greenfort, Co. Cork",62444
2030,"018 Kilfinny, Co. Limerick",62432
2439,"080 Pembrokestown, Co. Waterford",62416
348,"041 Dundrum-Taney, Dún Laoghaire-Rathdown",62406
531,"066 Castlebanny, Co. Kilkenny",62376
784,"012 Killeen, Co. Meath",62268
609,"031 Curraclone, Co. Laois",62241
112,"058 Grace Park, Dublin City",62220
1708,"223 Ballynamona, Co. Cork",62178
328,"021 Cabinteely-Pottery, Dún Laoghaire-Rathdown",62133
288,"023 Holmpatrick, Fingal",62104
850,"078 Galtrim, Co. Meath",62090
508,"043 Clara, Co. Kilkenny",62023
783,"011 Kilbrew, Co. Meath",62015
448,"072 Kill, Co. Kildare",62007
1629,"144 Watergrasshill, Co. Cork",61975
1744,"259 Lisgoold, Co. Cork",61972
1043,"094 Owel, Co. Westmeath",61970
407,"031 Quinsborough, Co. Kildare",61933
1562,"077 Ballynaglogh, Co. Cork",61911
2065,"053 Ballyvarra, Co. Limerick",61830
2518,"046 An Carn Mór, Co. Galway",61813
612,"034 Moyanna, Co. Laois",61751
673,"096 Rossmore, Co. Laois",61701
1985,"011 Castle D, Limerick City",61681
2120,"109 Aughinish, Co. Limerick",61677
1741,"256 Garryvoe, Co. Cork",61614
636,"059 Kilcolmanbane, Co. Laois",61612
769,"040 Mullary, Co. Louth",61580
1190,"011 Burgage, Co. Wicklow",61567
2395,"036 Whitechurch, Co. Waterford",61564
1497,"011 Ballinadee, Co. Cork",61521
782,"010 Dunshaughlin, Co. Meath",61505
2536,"064 Stradbally, Co. Galway",61486
2068,"056 Caherelly, Co. Limerick",61479
203,"149 Terenure B, Dublin City",61432
1669,"184 Coolmain, Co. Cork",61430
271,"006 Ballyboghil, Fingal",61409
384,"008 Ballyshannon, Co. Kildare",61409
379,"003 Naas Urban, Co. Kildare",61370
1507,"021 Inishannon, Co. Cork",61346
518,"053 Outrath, Co. Kilkenny",61343
1682,"197 Aghinagh, Co. Cork",61329
1611,"126 Castle Hyde, Co. Cork",61324
516,"051 Kilkieran, Co. Kilkenny",61273
1008,"058 Belvidere, Co. Westmeath",61262
2921,"009 Cloonown, Co. Roscommon",61180
2062,"050 Ballybricken, Co. Limerick",61154
589,"011 Cuffsborough, Co. Laois",61131
